rawGx,rawGy,rawGz,rawAx,rawAy,rawAz,procGx,procGy,procGz,procAx,procAy,procAz,time,score,prompt,response
28,-1,-6,0,3,1,33,-100,233,,,,,,,
17,3,57,0,0,0,34,-102,231,,,,,,,
-8,1,21,0,0,0,36,-102,228,,,,,,,
18,0,-46,0,-1,0,35,-102,229,,,,,,,
-17,-20,18,0,0,0,35,-102,230,,,,,,,
-5,-10,20,0,0,0,36,-102,231,,,,,,,
2,-5,-25,0,0,0,35,-102,232,,,,,,,
-5,-7,2,0,0,0,35,-102,233,,,,,,,
-6,-3,3,0,0,0,35,-102,233,,,,,,,
-6,-3,-3,0,0,0,35,-102,234,,,,,,,
5,-6,-5,0,0,0,34,-102,234,,,,,,,
0,-9,6,0,0,0,34,-102,234,,,,,,,
29,-10,-48,0,0,0,33,-103,235,,,,,,,
42,3,-80,-1,-1,0,29,-104,238,,,,,,,
37,15,-51,0,-1,0,27,-105,239,,,,,,,
32,-4,-72,0,0,0,24,-107,241,,,,,,,
38,17,-94,0,0,0,20,-108,242,,,,,,,
46,18,-117,0,-1,0,16,-109,245,,,,,,,
-3,28,-83,0,0,0,11,-109,249,,,,,,,
4,27,-78,0,0,0,8,-108,251,,,,,,,
-28,20,-51,0,0,0,6,-107,252,,,,,,,
-47,33,-14,0,2,0,5,-105,252,,,,,,,
-11,27,-29,0,2,0,4,-104,251,,,,,,,
-7,33,-16,0,1,0,3,-103,250,,,,,,,
-8,16,16,0,1,0,4,-103,249,,,,,,,
-2,17,1,0,0,0,5,-103,247,,,,,,,
1,15,-7,0,0,0,5,-102,247,,,,,,,
-3,-10,3,0,0,0,5,-102,247,,,,,,,
-5,3,-14,0,0,0,4,-102,248,,,,,,,
-4,-2,9,0,0,0,4,-102,248,,,,,,,
-7,4,-3,0,0,0,4,-102,247,,,,,,,
0,0,-3,0,0,0,4,-102,247,,,,,,,
-5,7,11,0,0,0,5,-101,247,,,,,,,
2,1,-5,0,0,0,5,-101,246,,,,,,,
0,0,3,0,0,0,5,-101,246,,,,,,,
-3,-1,4,-2,0,0,5,-101,246,,,,,,,
2,0,-11,0,0,0,5,-101,247,,,,,,,
2,-2,-3,0,0,0,4,-101,247,,,,,,,
7,0,-6,0,0,0,4,-102,247,,,,,,,
2,4,-10,0,0,0,4,-102,248,,,,,,,
3,-2,-5,0,0,0,3,-102,248,,,,,,,
-6,-2,10,0,0,0,3,-102,248,,,,,,,
0,0,-1,0,0,0,4,-102,248,,,,,,,
0,0,0,0,0,0,4,-102,248,,,,,,,
-1,2,-3,0,2,0,4,-102,248,,,,,,,
3,2,-7,0,0,0,3,-102,248,,,,,,,
-1,0,1,0,0,0,3,-102,248,,,,,,,
5,-1,-2,0,0,0,3,-102,248,,,,,,,
2,-8,11,0,0,0,3,-102,248,,,,,,,
9,-9,-1,0,0,0,4,-102,248,,,,,,,
15,-23,-17,0,0,2,3,-103,250,,,,,,,
-11,-39,51,0,0,0,3,-103,251,,,,,,,
-41,-95,154,0,2,0,8,-102,250,,,,,,,
-53,-87,171,-1,1,0,15,-101,248,,,,,,,
-57,-80,131,0,2,0,22,-100,246,,,,,,,
-58,-62,146,0,1,0,27,-99,245,,,,,,,
-42,-53,115,0,1,0,33,-99,242,,,,,,,
-18,-60,86,0,0,0,37,-101,241,,,,,,,
0,-64,70,1,0,0,40,-103,240,,,,,,,
-11,-73,81,0,-1,0,43,-107,240,,,,,,,
-6,-81,53,0,0,0,45,-111,240,,,,,,,
10,-80,12,-1,-1,0,44,-116,243,,,,,,,
-25,-83,8,0,-1,0,43,-118,247,,,,,,,
-5,-106,13,-1,0,0,41,-122,253,,,,,,,
-13,-113,47,0,-1,1,39,-126,257,,,,,,,
-24,-124,29,-1,-1,1,37,-129,264,,,,,,,
-43,-103,38,-1,0,0,35,-131,272,,,,,,,
-38,-72,28,-2,0,0,33,-132,278,,,,,,,
-27,-43,9,-1,0,0,32,-132,283,,,,,,,
-47,-37,9,0,0,0,31,-131,288,,,,,,,
-66,-34,-2,0,0,0,30,-129,294,,,,,,,
-47,25,-81,-2,0,-1,28,-125,300,,,,,,,
-22,84,-108,0,-1,0,26,-120,301,,,,,,,
